[host-drift] tag=sentinel start=2026-09-22T02:26:20.288Z duration=10800s interval=500ms -> ./raw/host-drift-sentinel.json
[STALL] t=1790044592789 /usage/status 899.7 ms (seq 1225)
[STALL] t=1790044612788 /usage/status 198.0 ms (seq 1265)
[STALL] t=1790044615289 /api/host.describe 165.6 ms (seq 1270)
[STALL] t=1790044645789 /usage/status 103.7 ms (seq 1331)
[STALL] t=1790044654288 /api/host.describe 109.4 ms (seq 1348)
[STALL] t=1790044662788 /usage/status 1153.0 ms (seq 1365)
[STALL] t=1790044663941 /api/host.describe 203.2 ms (seq 1366)
[STALL] t=1790044682789 /usage/status 168.1 ms (seq 1405)
[STALL] t=1790044732788 /usage/status 1132.2 ms (seq 1505)
[STALL] t=1790044752789 /usage/status 230.7 ms (seq 1545)
[STALL] t=1790044764289 /api/host.describe 159.4 ms (seq 1568)
[STALL] t=1790044771288 /api/host.describe 246.2 ms (seq 1582)
[STALL] t=1790044774788 /usage/status 248.1 ms (seq 1589)
[STALL] t=1790044788788 /usage/status 101.9 ms (seq 1617)
[STALL] t=1790044802788 /usage/status 864.0 ms (seq 1645)
[STALL] t=1790044803654 /api/host.describe 269.1 ms (seq 1646)
[STALL] t=1790044822790 /usage/status 368.2 ms (seq 1685)
[STALL] t=1790044831288 /api/host.describe 125.7 ms (seq 1702)
[STALL] t=1790044839789 /usage/status 170.7 ms (seq 1719)
[STALL] t=1790044853788 /usage/status 111.6 ms (seq 1747)
[STALL] t=1790044854790 /usage/status 105.8 ms (seq 1749)
[STALL] t=1790044870788 /usage/status 123.7 ms (seq 1781)
[STALL] t=1790044873288 /api/host.describe 484.9 ms (seq 1786)
[STALL] t=1790044874789 /usage/status 106.8 ms (seq 1789)
[STALL] t=1790044877288 /api/host.describe 107.1 ms (seq 1794)
[STALL] t=1790044889788 /usage/status 187.5 ms (seq 1819)
[STALL] t=1790044893288 /api/host.describe 173.9 ms (seq 1826)
[STALL] t=1790044896289 /api/host.describe 107.8 ms (seq 1832)
[STALL] t=1790044897289 /api/host.describe 117.0 ms (seq 1834)
[STALL] t=1790044900788 /usage/status 156.9 ms (seq 1841)
[STALL] t=1790044904789 /usage/status 151.7 ms (seq 1849)
[STALL] t=1790044912288 /api/host.describe 106.8 ms (seq 1864)
[STALL] t=1790044918289 /api/host.describe 106.8 ms (seq 1876)
[STALL] t=1790044919788 /usage/status 101.8 ms (seq 1879)
[STALL] t=1790044922789 /usage/status 142.0 ms (seq 1885)
[STALL] t=1790044923288 /api/host.describe 123.5 ms (seq 1886)
[STALL] t=1790044924288 /api/host.describe 248.0 ms (seq 1888)
[STALL] t=1790044943288 /api/host.describe 1022.1 ms (seq 1926)
[STALL] t=1790044944312 /usage/status 169.2 ms (seq 1927)
[STALL] t=1790044944788 /usage/status 177.6 ms (seq 1929)
[STALL] t=1790044946788 /usage/status 214.5 ms (seq 1933)
[STALL] t=1790044947288 /api/host.describe 157.3 ms (seq 1934)
[STALL] t=1790044947788 /usage/status 164.3 ms (seq 1935)
[STALL] t=1790044948289 /api/host.describe 118.3 ms (seq 1936)
[STALL] t=1790044952789 /usage/status 131.2 ms (seq 1945)
[STALL] t=1790044963288 /api/host.describe 464.3 ms (seq 1966)
[STALL] t=1790044972288 /api/host.describe 126.5 ms (seq 1984)
[STALL] t=1790044972788 /usage/status 223.5 ms (seq 1985)
[STALL] t=1790044973288 /api/host.describe 191.6 ms (seq 1986)
[STALL] t=1790044980288 /api/host.describe 159.4 ms (seq 2000)
[STALL] t=1790044985789 /usage/status 109.3 ms (seq 2011)
[STALL] t=1790045006789 /usage/status 116.1 ms (seq 2053)
[STALL] t=1790045013289 /api/host.describe 805.7 ms (seq 2066)
[STALL] t=1790045014288 /api/host.describe 105.4 ms (seq 2068)
[STALL] t=1790045014788 /usage/status 114.8 ms (seq 2069)
[STALL] t=1790045021288 /api/host.describe 132.8 ms (seq 2082)
[STALL] t=1790045033290 /api/host.describe 778.0 ms (seq 2106)
[STALL] t=1790045036288 /api/host.describe 108.7 ms (seq 2112)
[STALL] t=1790045071288 /api/host.describe 100.4 ms (seq 2182)
[STALL] t=1790045072789 /usage/status 170.7 ms (seq 2185)
[STALL] t=1790045073288 /api/host.describe 395.6 ms (seq 2186)
[STALL] t=1790045083289 /api/host.describe 1249.4 ms (seq 2206)
[STALL] t=1790045084540 /usage/status 154.8 ms (seq 2207)
[STALL] t=1790045084788 /usage/status 343.1 ms (seq 2209)
[STALL] t=1790045100289 /api/host.describe 126.2 ms (seq 2240)
[STALL] t=1790045103789 /usage/status 316.8 ms (seq 2247)
[STALL] t=1790045107288 /api/host.describe 268.6 ms (seq 2254)
[STALL] t=1790045107789 /usage/status 340.8 ms (seq 2255)
[STALL] t=1790045108289 /api/host.describe 119.0 ms (seq 2256)
[STALL] t=1790045109789 /usage/status 132.2 ms (seq 2259)
[STALL] t=1790045114289 /api/host.describe 150.8 ms (seq 2268)
[STALL] t=1790045131789 /usage/status 130.7 ms (seq 2303)
[STALL] t=1790045135789 /usage/status 171.5 ms (seq 2311)
[STALL] t=1790045136789 /usage/status 173.5 ms (seq 2313)
[STALL] t=1790045137788 /usage/status 121.8 ms (seq 2315)
[STALL] t=1790045140288 /api/host.describe 119.4 ms (seq 2320)
[STALL] t=1790045141289 /api/host.describe 119.7 ms (seq 2322)
[STALL] t=1790045142289 /api/host.describe 169.5 ms (seq 2324)
[STALL] t=1790045143289 /api/host.describe 189.0 ms (seq 2326)
[STALL] t=1790045143789 /usage/status 427.1 ms (seq 2327)
[STALL] t=1790045144289 /api/host.describe 288.0 ms (seq 2328)
[STALL] t=1790045144788 /usage/status 153.8 ms (seq 2329)
[STALL] t=1790045145788 /usage/status 679.5 ms (seq 2331)
[STALL] t=1790045146469 /api/host.describe 566.2 ms (seq 2332)
[STALL] t=1790045147036 /usage/status 529.9 ms (seq 2333)
[STALL] t=1790045147567 /api/host.describe 404.3 ms (seq 2334)
[STALL] t=1790045147973 /usage/status 469.4 ms (seq 2335)
[STALL] t=1790045148443 /api/host.describe 355.7 ms (seq 2336)
[STALL] t=1790045148800 /usage/status 346.1 ms (seq 2337)
[STALL] t=1790045149289 /api/host.describe 374.3 ms (seq 2338)
[STALL] t=1790045149789 /usage/status 613.6 ms (seq 2339)
[STALL] t=1790045150404 /api/host.describe 227.0 ms (seq 2340)
[STALL] t=1790045150789 /usage/status 455.2 ms (seq 2341)
[STALL] t=1790045151289 /api/host.describe 818.9 ms (seq 2342)
[STALL] t=1790045152109 /usage/status 518.1 ms (seq 2343)
[STALL] t=1790045152628 /api/host.describe 541.0 ms (seq 2344)
[STALL] t=1790045153170 /usage/status 495.2 ms (seq 2345)
[STALL] t=1790045153667 /api/host.describe 2208.8 ms (seq 2346)
[STALL] t=1790045155877 /usage/status 842.1 ms (seq 2347)
[STALL] t=1790045156720 /api/host.describe 511.8 ms (seq 2348)
[STALL] t=1790045157233 /usage/status 502.3 ms (seq 2349)
[STALL] t=1790045157737 /api/host.describe 339.6 ms (seq 2350)
[STALL] t=1790045158078 /usage/status 239.3 ms (seq 2351)
[STALL] t=1790045158319 /api/host.describe 244.2 ms (seq 2352)
[STALL] t=1790045158564 /usage/status 186.8 ms (seq 2353)
[STALL] t=1790045158752 /api/host.describe 118.9 ms (seq 2354)
[STALL] t=1790045158872 /usage/status 120.5 ms (seq 2355)
[STALL] t=1790045159289 /api/host.describe 317.0 ms (seq 2358)
[STALL] t=1790045159788 /usage/status 157.9 ms (seq 2359)
[STALL] t=1790045160289 /api/host.describe 194.6 ms (seq 2360)
[STALL] t=1790045160789 /usage/status 165.3 ms (seq 2361)
[STALL] t=1790045161289 /api/host.describe 239.6 ms (seq 2362)
[STALL] t=1790045161788 /usage/status 184.8 ms (seq 2363)
[STALL] t=1790045162289 /api/host.describe 104.5 ms (seq 2364)
[STALL] t=1790045163289 /api/host.describe 130.3 ms (seq 2366)
[STALL] t=1790045163789 /usage/status 108.2 ms (seq 2367)
[STALL] t=1790045164788 /usage/status 189.5 ms (seq 2369)
[STALL] t=1790045165788 /usage/status 139.4 ms (seq 2371)
[STALL] t=1790045166288 /api/host.describe 163.0 ms (seq 2372)
[STALL] t=1790045167289 /api/host.describe 571.5 ms (seq 2374)
[STALL] t=1790045167862 /usage/status 306.7 ms (seq 2375)
[STALL] t=1790045168289 /api/host.describe 337.0 ms (seq 2376)
[STALL] t=1790045168789 /usage/status 248.5 ms (seq 2377)
[STALL] t=1790045169288 /api/host.describe 254.1 ms (seq 2378)
[STALL] t=1790045169788 /usage/status 105.8 ms (seq 2379)
[STALL] t=1790045170289 /api/host.describe 581.9 ms (seq 2380)
[STALL] t=1790045170872 /usage/status 265.8 ms (seq 2381)
[STALL] t=1790045171288 /api/host.describe 243.5 ms (seq 2382)
[STALL] t=1790045171788 /usage/status 213.2 ms (seq 2383)
[STALL] t=1790045172289 /api/host.describe 192.3 ms (seq 2384)
[STALL] t=1790045172789 /usage/status 234.3 ms (seq 2385)
[STALL] t=1790045173289 /api/host.describe 259.7 ms (seq 2386)
[STALL] t=1790045173788 /usage/status 1371.8 ms (seq 2387)
[STALL] t=1790045175161 /api/host.describe 476.7 ms (seq 2388)
[STALL] t=1790045175639 /usage/status 335.1 ms (seq 2389)
[STALL] t=1790045175976 /api/host.describe 423.5 ms (seq 2390)
[STALL] t=1790045176401 /usage/status 300.4 ms (seq 2391)
[STALL] t=1790045176702 /api/host.describe 120.2 ms (seq 2392)
[STALL] t=1790045176824 /usage/status 407.0 ms (seq 2393)
[STALL] t=1790045177289 /api/host.describe 662.9 ms (seq 2394)
[STALL] t=1790045177953 /usage/status 136.6 ms (seq 2395)
[STALL] t=1790045178287 /api/host.describe 474.0 ms (seq 2396)
[STALL] t=1790045178789 /usage/status 321.4 ms (seq 2397)
[STALL] t=1790045179289 /api/host.describe 387.9 ms (seq 2398)
[STALL] t=1790045179789 /usage/status 277.6 ms (seq 2399)
[STALL] t=1790045180288 /api/host.describe 281.2 ms (seq 2400)
[STALL] t=1790045180789 /usage/status 561.0 ms (seq 2401)
[STALL] t=1790045181351 /api/host.describe 251.1 ms (seq 2402)
[STALL] t=1790045181789 /usage/status 253.1 ms (seq 2403)
[STALL] t=1790045182288 /api/host.describe 366.9 ms (seq 2404)
[STALL] t=1790045182788 /usage/status 387.7 ms (seq 2405)
[STALL] t=1790045183288 /api/host.describe 108.4 ms (seq 2406)
[STALL] t=1790045188788 /usage/status 147.3 ms (seq 2417)
[STALL] t=1790045190289 /api/host.describe 244.5 ms (seq 2420)
[STALL] t=1790045190788 /usage/status 103.7 ms (seq 2421)
[STALL] t=1790045210789 /usage/status 101.6 ms (seq 2461)
[STALL] t=1790045220789 /usage/status 111.1 ms (seq 2481)
[STALL] t=1790045221288 /api/host.describe 140.6 ms (seq 2482)
[STALL] t=1790045222289 /api/host.describe 172.2 ms (seq 2484)
[STALL] t=1790045223289 /api/host.describe 125.6 ms (seq 2486)
[STALL] t=1790045224289 /api/host.describe 1241.0 ms (seq 2488)
[STALL] t=1790045225531 /usage/status 237.6 ms (seq 2489)
[STALL] t=1790045225770 /api/host.describe 117.2 ms (seq 2490)
[STALL] t=1790045244289 /api/host.describe 447.1 ms (seq 2528)
[STALL] t=1790045246789 /usage/status 117.0 ms (seq 2533)
[STALL] t=1790045294289 /api/host.describe 415.2 ms (seq 2628)
[STALL] t=1790045314289 /api/host.describe 224.9 ms (seq 2668)
[STALL] t=1790045339788 /usage/status 227.9 ms (seq 2719)
[STALL] t=1790045347789 /usage/status 172.5 ms (seq 2735)
[STALL] t=1790045349788 /usage/status 231.7 ms (seq 2739)
[STALL] t=1790045354289 /api/host.describe 142.3 ms (seq 2748)
[STALL] t=1790045355289 /api/host.describe 101.4 ms (seq 2750)
[STALL] t=1790045355789 /usage/status 111.5 ms (seq 2751)
[STALL] t=1790045356288 /api/host.describe 100.5 ms (seq 2752)
[STALL] t=1790045358288 /api/host.describe 202.4 ms (seq 2756)
[STALL] t=1790045358788 /usage/status 241.2 ms (seq 2757)
[STALL] t=1790045360788 /usage/status 239.1 ms (seq 2761)
[STALL] t=1790045362788 /usage/status 275.3 ms (seq 2765)
[STALL] t=1790045363288 /api/host.describe 418.2 ms (seq 2766)
[STALL] t=1790045363789 /usage/status 299.7 ms (seq 2767)
[STALL] t=1790045364289 /api/host.describe 1256.5 ms (seq 2768)
[STALL] t=1790045365547 /usage/status 1420.1 ms (seq 2769)
[STALL] t=1790045366969 /api/host.describe 1298.4 ms (seq 2770)
[STALL] t=1790045368268 /usage/status 1189.2 ms (seq 2771)
[STALL] t=1790045369459 /api/host.describe 807.9 ms (seq 2772)
[STALL] t=1790045370268 /usage/status 429.8 ms (seq 2773)
[STALL] t=1790045370699 /api/host.describe 250.5 ms (seq 2774)
[STALL] t=1790045370951 /usage/status 770.3 ms (seq 2775)
[STALL] t=1790045371723 /api/host.describe 637.8 ms (seq 2776)
[STALL] t=1790045372362 /usage/status 496.3 ms (seq 2777)
[STALL] t=1790045372859 /api/host.describe 501.5 ms (seq 2778)
[STALL] t=1790045373362 /usage/status 379.4 ms (seq 2779)
[STALL] t=1790045373743 /api/host.describe 211.0 ms (seq 2780)
[STALL] t=1790045373955 /usage/status 138.2 ms (seq 2781)
[STALL] t=1790045374219 /api/host.describe 107.5 ms (seq 2786)
[STALL] t=1790045374394 /api/host.describe 119.0 ms (seq 2788)
[STALL] t=1790045378289 /api/host.describe 152.4 ms (seq 2796)
[STALL] t=1790045384288 /api/host.describe 383.4 ms (seq 2808)
[STALL] t=1790045434288 /api/host.describe 764.7 ms (seq 2908)
[STALL] t=1790045454289 /api/host.describe 237.5 ms (seq 2948)
[STALL] t=1790045488288 /api/host.describe 100.2 ms (seq 3016)
[STALL] t=1790045504288 /api/host.describe 926.9 ms (seq 3048)
[STALL] t=1790045524289 /api/host.describe 334.6 ms (seq 3088)
[STALL] t=1790045525288 /api/host.describe 136.3 ms (seq 3090)
[STALL] t=1790045528788 /usage/status 157.6 ms (seq 3097)
[STALL] t=1790045531289 /api/host.describe 175.9 ms (seq 3102)
[STALL] t=1790045531789 /usage/status 112.0 ms (seq 3103)
[STALL] t=1790045532789 /usage/status 219.7 ms (seq 3105)
[STALL] t=1790045556288 /api/host.describe 109.5 ms (seq 3152)
[STALL] t=1790045574289 /api/host.describe 863.6 ms (seq 3188)
[STALL] t=1790045575289 /api/host.describe 106.1 ms (seq 3190)
[STALL] t=1790045594288 /api/host.describe 203.3 ms (seq 3228)
[host-drift] done n=3315 p50=18.6 p95=227.2 max=2208.8 stalls>=100ms=404
